Rank,Name,Final score,Country,Industry
569,Doppelmayr Group,70.38,Austria,Transportation and Logistics
570,Worldline,70.35,France,Banking and Financial Services
571,KUKA,70.34,Germany,"Engineering, Manufacturing"
572,Stripe,70.32,Ireland,"Aerospace, Defence, Manufacture of Transport Equipment"
573,Maisons du Monde,70.29,France,Retail
574,MediaMarktSaturn Retail Group,70.26,Germany,Retail
575,DS Smith,70.25,United Kingdom,"Manufacture and Processing of Materials, Metals and Paper"
576,Haribo,70.24,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
577,Dorfner-Gruppe,70.19,Germany,Business Services and Supplies
578,Bupa,70.19,United Kingdom,Healthcare (Social)
579,Coppenrath & Wiese,70.19,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
580,Omron,70.15,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
581,Benteler,70.14,Austria,Automotive (Producers and Suppliers)
582,VEM,70.14,Germany,"Engineering, Manufacturing"
583,Cargill International,70.09,Belgium,"Food, Soft Beverages, Alcohol and Tobacco"
584,KOS,70.08,Italy,Healthcare (Social)
585,Blumenbecker,70.07,Germany,"Engineering, Manufacturing"
586,Simona,70.05,Germany,"Manufacture and processing of materials, metals and paper"
587,Pret A Manger,70.05,United Kingdom,Restaurants
588,Tesco,70.03,United Kingdom,Retail
589,AAK,69.99,Sweden,"Food, Soft Beverages, Alcohol and Tobacco"
590,Ehrmann,69.99,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
591,El Corte Ingles,69.99,Spain,Retail
592,Autogrill,69.94,Italy,Restaurants
593,Omnicom Group,69.93,United Kingdom,Media and Advertising
594,SNCF,69.84,France,Transportation and Logistics
595,CAE,69.79,Germany,"Aerospace, Defence, Manufacture of Transport Equipment"
596,Komatsu,69.78,Belgium,Automotive (Producers and Suppliers)
597,IAV,69.76,Germany,Automotive (Producers and Suppliers)
598,Bio-Rad,69.75,Germany,Drugs and Biotechnology
599,Hapag-Lloyd,69.71,Germany,Transportation and Logistics
600,Ahold Delhaize,69.64,Netherlands,Retail
601,Auto Partner,69.63,Poland,Automotive (Producers and Suppliers)
602,Techint Group,69.63,Italy,"Manufacture and Processing of Materials, Metals and Paper"
603,Diageo,69.61,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
604,Gelita,69.6,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
605,Longchamp,69.59,France,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
606,Jula,69.57,Sweden,Retail
607,Clarins,69.55,France,Packaged Goods
608,ALBA Group,69.54,Germany,Utilities
609,BBGR,69.54,France,Healthcare Equipment and Services
610,Asics,69.52,Netherlands,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
611,Vienna Insurance Group (VIG),69.52,Austria,Insurance
612,fischer,69.49,Germany,"Manufacture and processing of materials, metals and paper"
613,Seagate Technology,69.45,Ireland,"IT, Internet, Software and Services"
614,Catalent,69.42,Germany,Consulting and Accounting
615,B. Braun,69.41,Germany,Healthcare Equipment and Services
616,Vontobel,69.4,Switzerland,Banking and Financial Services
617,Artelia,69.39,France,"Engineering, Manufacturing"
618,Amundi,69.39,France,Banking and Financial Services
619,Three,69.38,Luxembourg,"Telecommunications Services, Cable Supplier"
620,Zech Bau,69.34,Germany,Construction
621,Lorenz Snack-World,69.31,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
622,AT&T,69.22,United Kingdom,"Telecommunications Services, Cable Supplier"
623,UPS (United Parcel Service),69.19,Belgium,Transportation and Logistics
624,Reply,69.17,Italy,"IT, Internet, Software and Services"
625,Haberkorn,69.14,Austria,Wholesale
626,Adesso,69.14,Germany,"IT, Internet, Software and Services"
627,Mapal,69.11,Germany,Packaged Goods
628,IRIS Group,69.05,Belgium,Business Services and Supplies
629,Cummins,69,United Kingdom,"Engineering, Manufacturing"
630,Alfred Ritter,68.99,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
631,Kellanova,68.95,Ireland,"Food, Soft Beverages, Alcohol and Tobacco"
632,Cartier,68.94,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
633,Pepsico,68.88,Switzerland,"Food, Soft Beverages, Alcohol and Tobacco"
634,De Cecco,68.88,Italy,"Food, Soft Beverages, Alcohol and Tobacco"
635,The Walt Disney Company,68.83,United Kingdom,Media and Advertising
636,Anheuser-Busch InBev,68.82,Belgium,"Food, Soft Beverages, Alcohol and Tobacco"
637,Atos,68.81,France,"IT, Internet, Software and Services"
638,Dornan Engineering,68.78,Ireland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
639,Cancom,68.75,Germany,"IT, Internet, Software and Services"
